Library Name	Title	RBID	Zenith Issue Id	Issue Date
8080 Test Library	Car Craft	RBZ0001323	431769	08/01/2019
8080 Test Library	Car Craft	RBZ0001323	431770	09/01/2019
8080 Test Library	Car Craft	RBZ0001323	431771	10/01/2019
8080 Test Library	Car Craft	RBZ0001323	431772	11/01/2019
8080 Test Library	Car Craft	RBZ0001323	431773	12/01/2019
8080 Test Library	Car Craft	RBZ0001323	431774	01/01/2020
8080 Test Library	Car Craft	RBZ0001323	431775	02/01/2020
8080 Test Library	Car Craft	RBZ0001323	431776	03/01/2020
8080 Test Library	Chasseur d'images	RBZ0009637	455378	08/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431741	04/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431742	05/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431743	06/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431744	07/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431745	08/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431746	09/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431747	10/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431748	11/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431749	12/01/2019
8080 Test Library	Chevy High Performance	RBZ0001360	431750	01/01/2020
8080 Test Library	Chevy High Performance	RBZ0001360	431751	02/01/2020
8080 Test Library	Chevy High Performance	RBZ0001360	431752	03/01/2020
8080 Test Library	Chillfactor Ski Magazine	RBZ0004222	191842	06/01/2012
8080 Test Library	Classic Trucks	RBZ0006611	431827	04/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431828	05/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431829	06/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431830	07/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431831	08/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431832	09/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431833	10/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431834	11/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431835	12/01/2019
8080 Test Library	Classic Trucks	RBZ0006611	431836	01/01/2020
8080 Test Library	Classic Trucks	RBZ0006611	431837	02/01/2020
8080 Test Library	Classic Trucks	RBZ0006611	431838	03/01/2020
8080 Test Library	Defense Technology Monthly ????	RBZ0001065	376137	02/01/2017
8080 Test Library	Diesel Power	RBZ0001361	431809	03/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431810	04/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431811	05/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431812	06/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431813	07/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431814	08/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431815	09/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431816	10/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431817	11/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431818	12/01/2019
8080 Test Library	Diesel Power	RBZ0001361	431819	01/01/2020
8080 Test Library	Diesel Power	RBZ0001361	431820	02/01/2020
8080 Test Library	Drawing: The Complete Course	RBZ0000311	342040	08/01/2011
8080 Test Library	Drew League	RBZ0006496	233461	08/01/2013
8080 Test Library	Especial Relojes de Esquire ES	RBZ0001718	343525	05/15/2013
8080 Test Library	Fitness SA	RBZ0005247	456122	12/01/2019
8080 Test Library	Flightpath	RBZ0008764	437492	08/01/2019
8080 Test Library	Gente - Argentina	RBZ0006012	411921	01/16/2018
8080 Test Library	Glamour Italia	RBZ0005061	452207	12/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432633	02/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432634	03/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432635	04/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432636	05/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432637	06/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432638	07/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432639	08/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432640	09/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432641	10/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432642	11/01/2019
8080 Test Library	Golf Digest	RBZ0005635	432643	12/01/2019
8080 Test Library	Golf Digest	RBZ0005635	467970	02/01/2020
